unitkey,type,label,value,options,name
"Диаметр отверстий на фланцах, мм",field_text,"Диаметр отверстий на фланцах, мм",,,
"Диаметр посадочного места домкрата, мм",field_text,"Диаметр посадочного места домкрата, мм",,,
"Диаметр пробиваемого отверстия, мм",field_text,"Диаметр пробиваемого отверстия, мм",,,
"Диаметр проставок, мм",field_text,"Диаметр проставок, мм",,,
Диаметр резьбы,field_text,Диаметр резьбы,,,
"Диапазон диаметров разгоняемых фланцев, мм",field_text,"Диапазон диаметров разгоняемых фланцев, мм",,,
"Длина каната, м",field_text,"Длина каната, м",,,
"Длина проставок, мм",field_text,"Длина проставок, мм",,,
"Длина, мм",field_text,"Длина, мм",,,
Домкрат гидравлический железно-дорожные,divider,Домкрат гидравлический железно-дорожные,,,
"Заполнение манометра,нет,глицирин,силикон",field_select,Заполнение манометра,,нет=нет\r\nглицирин=глицирин\r\nсиликон=силикон,
Кассета для гайковерта кассетного гидравлического,divider,Кассета для гайковерта кассетного гидравлического,,,
"Категория раземещения (ГОСТ 15150-69),1,1,1,2,2,1,3,3,1,4,4,1,4,2,5,5,1",field_select,Категория раземещения (ГОСТ 15150-69),,"1=1\r\n1,1=1,1\r\n2=2\r\n2,1=2,1\r\n3=3\r\n3,1=3,1\r\n4=4\r\n4,1=4,1\r\n4,2=4,2\r\n5=5\r\n5,1=5,1",
Класс точности,field_text,Класс точности,,,
"Климатическое исполнение (ГОСТ 15150-69),У,УХЛ,ХЛ,ТВ,ТС,Т,О,М",field_select,Климатическое исполнение (ГОСТ 15150-69),,У=У\r\nУХЛ=УХЛ\r\nХЛ=ХЛ\r\nТВ=ТВ\r\nТС=ТС\r\nТ=Т\r\nО=О\r\nМ=М,climatic_performance
Клин разжимной,divider,Клин разжимной,,,
Код исполнения левого наконечника,field_text,Код исполнения левого наконечника,,,
Код исполнения правого наконечника,field_text,Код исполнения правого наконечника,,,
Количество выходов для подключения оборудования,field_text,Количество выходов для подключения оборудования,,,
Количество гидроцилиндров,field_text,Количество гидроцилиндров,,,
"Количество потоков,1,2",field_select,Количество потоков,,1=1\r\n2=2,
Количество проставок,field_text,Количество проставок,,,number_of_spacers
"Количество роликов, шт",field_text,"Количество роликов, шт",,,
Количество траверс,field_text,Количество траверс,,,
Коментарии к заказу,field_text,Коментарии к заказу,,,comments_to_the_order
"Комплектация насосом/станцией,Да,Нет",field_checkbox,Комплектация насосом/станцией,Да,,
Кран многоходовой,divider,Кран многоходовой,,,
Кран предохранительный,divider,Кран предохранительный,,,
"Крепление троса к лебедке,Барабанный,Сквозной",field_select,Крепление троса к лебедке,,Барабанный=Барабанный\r\nСквозной=Сквозной,
"Крутящий момент, макс, Нм",field_text,"Крутящий момент, макс, Нм",,,
Лебедка ручная,divider,Лебедка ручная,,,
"Максимальная величина разгонки, мм",field_text,"Максимальная величина разгонки, мм",,,
"Максимальная толщина листа, мм",field_text,"Максимальная толщина листа, мм",,,
"Максимальное давление, Мпа",field_text,"Максимальное давление, Мпа",,,
"Максимальное поднятие, мм",field_text,"Максимальное поднятие, мм",,,
"Максимальные размеры уголка, мм",field_text,"Максимальные размеры уголка, мм",,,
Манометр,divider,Манометр,,,manometer
"Материал,Сталь,Алюминий",field_select,Материал,,Сталь=Сталь\r\nАлюминий=Алюминий,material
Матрицы к прессам гидравлическим для опрессовки,divider,Матрицы к прессам гидравлическим для опрессовки,,,
"Минимальный зазор между фланцами, мм",field_text,"Минимальный зазор между фланцами, мм",,,
Наименование пресса,field_text,Наименование пресса,,,
"Наличие прессуемой матрицы,Да,Нет",field_checkbox,Наличие прессуемой матрицы,Да,,
"Наличие фиксирующей гайки на штоке,Да,Нет",field_checkbox,Наличие фиксирующей гайки на штоке,Да,,the_presence_of_a_locking_nut_on_the_rod
"Наружный диаметр трубы, мм",field_text,"Наружный диаметр трубы, мм",,,
Насос гидравлический,divider,Насос гидравлический,,,
"Насос,Выносной,Встроенный",field_select,Насос,,Выносной=Выносной\r\nВстроенный=Встроенный,
"Насос,Ручной,Электрический",field_select,Насос,,Ручной=Ручной\r\nЭлектрический=Электрический,
Ножницы гидравлические,divider,Ножницы гидравлические,,,
Ножницы гидравлические для уголка,divider,Ножницы гидравлические для уголка,,,
"Перерезаемый диаметр, мм",field_text,"Перерезаемый диаметр, мм",,,
"Перерезаемый материал,Сталь,Алюминий,Медь",field_select,Перерезаемый материал,,Сталь=Сталь\r\nАлюминий=Алюминий\r\nМедь=Медь,
"Поверка,да,нет",field_select,Поверка,,да=да\r\nнет=нет,
"Подача масла, л",field_text,"Подача масла, л",,,
Поддомкратная опора,divider,Поддомкратная опора,,,
"Полезный объем бака, л",field_text,"Полезный объем бака, л",,,
"Посадочный размер квадрата, дюйм",field_text,"Посадочный размер квадрата, дюйм",,,
Пресс гидравлический для опрессовки,divider,Пресс гидравлический для опрессовки,,,
Пресс гидравлический общепромышленный,divider,Пресс гидравлический общепромышленный,,,
Пресс-перфоратор гидравлический,divider,Пресс-перфоратор гидравлический,,,
"Привод,Выносной,Встроенный",field_select,Привод,,Выносной=Выносной\r\nВстроенный=Встроенный,drive
"Привод,Ручной,Ножной",field_select,Привод,,Ручной=Ручной\r\nНожной=Ножной,drive
Прикрепить файл,field_text,Прикрепить файл,,,attached_file
Прикрепить файл,field_text,Прикрепить файл,,,attachment
"Принцип разгонки,Ступенчатый,Клиновой",field_select,Принцип разгонки,,Ступенчатый=Ступенчатый\r\nКлиновой=Клиновой,
"Принцип функционирования,Шестеренный,Рычажный",field_select,Принцип функционирования,,Шестеренный=Шестеренный\r\nРычажный=Рычажный,
Присоединительная входная резьба замка,field_text,Присоединительная входная резьба замка,,,
Присоединительная входная резьба коллектора,field_text,Присоединительная входная резьба коллектора,,,
"Профиль опрессовки,шестигранный,круглый,точечный",field_select,Профиль опрессовки,,шестигранный=шестигранный\r\nкруглый=круглый\r\nточечный=точечный,
"Рабочая длина между осью винта (штока) и крюком зацепа фланца, мм",field_text,"Рабочая длина между осью винта (штока) и крюком зацепа фланца, мм",,,
Рабочая жидкость,field_text,Рабочая жидкость,,,
"Рабочее давление, МПа",field_text,"Рабочее давление, МПа",,,
"Рабочее давление, Мпа",field_text,"Рабочее давление, Мпа",,,working_pressure
Рабочее пространство (мм) высота,field_text,Рабочее пространство (мм) высота,,,
"Рабочее пространство (мм) высота, макс",field_text,"Рабочее пространство (мм) высота, макс",,,
"Рабочее пространство (мм) высота, мин",field_text,"Рабочее пространство (мм) высота, мин",,,
Рабочее пространство (мм) длина,field_text,Рабочее пространство (мм) длина,,,
Рабочее пространство (мм) ширина,field_text,Рабочее пространство (мм) ширина,,,
Рабочее размер матрицы (мм) длина,field_text,Рабочее размер матрицы (мм) длина,,,
Рабочее размер матрицы (мм) ширина,field_text,Рабочее размер матрицы (мм) ширина,,,
"Радиус гиба,мм",field_text,"Радиус гиба,мм",,,
"Радиус от центра оси посадочного квадрата по дуге боковой поверхности гайковерта, мм",field_text,"Радиус от центра оси посадочного квадрата по дуге боковой поверхности гайковерта, мм",,,
"Радиус посадочного шестигранника, мм",field_text,"Радиус посадочного шестигранника, мм",,,
Разгонщик фланцев,divider,Разгонщик фланцев,,,
"Размеры круглых матриц (алюминиевый зажим), мм",field_text,"Размеры круглых матриц (алюминиевый зажим), мм",,,
"Размеры круглых матриц (стальной зажим), мм",field_text,"Размеры круглых матриц (стальной зажим), мм",,,
"Размеры под ключ, мм",field_text,"Размеры под ключ, мм",,,
"Размеры шестигранных матриц, мм",field_text,"Размеры шестигранных матриц, мм",,,
"Разница между радиусом кассеты и описанным диаметром гайки, мм",field_text,"Разница между радиусом кассеты и описанным диаметром гайки, мм",,,
"Разрезаемые гайки под ключ, мм",field_text,"Разрезаемые гайки под ключ, мм",,,
"Расположение входной резьбы замка,Внешняя резьба,Внутреняя резьба",field_select,Расположение входной резьбы замка,,Внешняя резьба=Внешняя резьба\r\nВнутреняя резьба=Внутреняя резьба,
"Расположение входной резьбы на коллекторе,Внешняя резьба,Внутреняя резьба",field_select,Расположение входной резьбы на коллекторе,,Внешняя резьба=Внешняя резьба\r\nВнутреняя резьба=Внутреняя резьба,
"Расположение выходной резьбы замка,Внешняя резьба,Внутреняя резьба",field_select,Расположение выходной резьбы замка,,Внешняя резьба=Внешняя резьба\r\nВнутреняя резьба=Внутреняя резьба,
"Расположение выходной резьбы крана,Внешняя резьба,Внутреняя резьба",field_select,Расположение выходной резьбы крана,,Внешняя резьба=Внешняя резьба\r\nВнутреняя резьба=Внутреняя резьба,
"Расположение резьбы к манометру,Внешняя резьба,Внутреняя резьба",field_select,Расположение резьбы к манометру,,Внешняя резьба=Внешняя резьба\r\nВнутреняя резьба=Внутреняя резьба,
"Расположение резьбы к оборудованию,Внешняя резьба,Внутреняя резьба",field_select,Расположение резьбы к оборудованию,,Внешняя резьба=Внешняя резьба\r\nВнутреняя резьба=Внутреняя резьба,
"Расположение резьбы,Внешняя резьба,Внутреняя резьба",field_select,Расположение резьбы,,Внешняя резьба=Внешняя резьба\r\nВнутреняя резьба=Внутреняя резьба,
"Расстояние от оси пуансона до края заготовки ,мм",field_text,"Расстояние от оси пуансона до края заготовки ,мм",,,
"Режим работы,Кратковременный,Продолжительный",field_select,Режим работы,,Кратковременный=Кратковременный\r\nПродолжительный=Продолжительный,mode_of_operation
"Режим работы,Кратковременный,Продолжительный",field_select,Режим работы,,Кратковременный=Кратковременный\r\nПродолжительный=Продолжительный,operating_mode
"Резьба в штоке, мм",field_text,"Резьба в штоке, мм",,,thread_in_stock
Резьба крепления опоры,field_text,Резьба крепления опоры,,,
Резьба левого наконечника,field_text,Резьба левого наконечника,,,
Резьба маслоподводящего отверстия,field_text,Резьба маслоподводящего отверстия,,,thread_the_inlet_hole
"Резьба на штоке, мм",field_text,"Резьба на штоке, мм",,,thread_on_the_rod
Резьба правого наконечника,field_text,Резьба правого наконечника,,,
Резьба присоединительная,field_text,Резьба присоединительная,,,
Резьба присоединительная к манометру,field_text,Резьба присоединительная к манометру,,,
Резьба присоединительная к оборудованию,field_text,Резьба присоединительная к оборудованию,,,
Резьба присоединительного внешнего штуцера,field_text,Резьба присоединительного внешнего штуцера,,,
Резьба присоединительного внутреннего штуцера,field_text,Резьба присоединительного внутреннего штуцера,,,
Резьба присоединительного отверстия,field_text,Резьба присоединительного отверстия,,,
Рельсогиб гидравлический,divider,Рельсогиб гидравлический,,,
Рихтовщик гидравлический путевой,divider,Рихтовщик гидравлический путевой,,,
Рукав высокого давления,divider,Рукав высокого давления,,,
"Сечение кабеля, мм²",field_text,"Сечение кабеля, мм²",,,
"Соединительный фитинг,Штуцер заглушка,Штуцер прямой,Муфта прямая",field_select,Соединительный фитинг,,Штуцер заглушка=Штуцер заглушка\r\nШтуцер прямой=Штуцер прямой\r\nМуфта прямая=Муфта прямая,
Таль ручная,divider,Таль ручная,,,
Тележка ручная для тали,divider,Тележка ручная для тали,,,
"Тип двигателя электрического насоса,Электродвигатель переменного тока 380В, трехфазный, 50 Гц,Электродвигатель переменного тока 380В, трехфазный, 50 Гц,Бензодвигатель,Пневмодвигатель",field_select,Тип двигателя электрического насоса,,"Электродвигатель переменного тока 380В, трехфазный, 50 Гц=Электродвигатель переменного тока 380В, трехфазный, 50 Гц\r\nЭлектродвигатель переменного тока 380В, трехфазный, 50 Гц=Электродвигатель переменного тока 380В, трехфазный, 50 Гц\r\nБензодвигатель=Бензодвигатель\r\nПневмодвигатель=Пневмодвигатель",
"Тип крепления опоры,без крепления,уплотнение,резьба",field_select,Тип крепления опоры,,без крепления=без крепления\r\nуплотнение=уплотнение\r\nрезьба=резьба,
"Тип крпеления,Крюк,Проушина",field_select,Тип крпеления,,Крюк=Крюк\r\nПроушина=Проушина,
"Тип опоры,плавающая,рифленая,зубчатая,плоская",field_select,Тип опоры,,плавающая=плавающая\r\nрифленая=рифленая\r\nзубчатая=зубчатая\r\nплоская=плоская,
"Тип передвижения,Цепной,Пассивный",field_select,Тип передвижения,,Цепной=Цепной\r\nПассивный=Пассивный,
"Тип пульта на электрическом насосе,На станции,Дистанционный,Ножной,Радиоуправление",field_select,Тип пульта на электрическом насосе,,На станции=На станции\r\nДистанционный=Дистанционный\r\nНожной=Ножной\r\nРадиоуправление=Радиоуправление,
"Тип разгонщика,Механический,Гидравлический",field_select,Тип разгонщика,,Механический=Механический\r\nГидравлический=Гидравлический,
"Тип размещения,Стационарный,Передвижной",field_select,Тип размещения,,Стационарный=Стационарный\r\nПередвижной=Передвижной,
Тип рельса,field_text,Тип рельса,,,
"Толщина стенки трубы, мм",field_text,"Толщина стенки трубы, мм",,,
"Толщина фланца, мм",field_text,"Толщина фланца, мм",,,
Трубогиб гидравлический,divider,Трубогиб гидравлический,,,
"Угол гиба, градус",field_text,"Угол гиба, градус",,,
"Угол изгиба левого наконечника, °градус",field_text,"Угол изгиба левого наконечника, °градус",,,
"Угол изгиба правого наконечника, °градус",field_text,"Угол изгиба правого наконечника, °градус",,,
"Угол поворота левого наконечника относительно правого, °градус",field_text,"Угол поворота левого наконечника относительно правого, °градус",,,
"Усилие, тc",field_text,"Усилие, тc",,,carrying
"Ход ножа, мм",field_text,"Ход ножа, мм",,,
"Ход штока, мм",field_text,"Ход штока, мм",,,stock_stroke
Штоковая опора,divider,Штоковая опора,,,
Штуцер - Муфта,divider,Штуцер - Муфта,,,
Параметры станции,divider,Параметры станции,,,pump_station
Количество насосов,field_text,Количество насосов,,,number_of_pumps
"Тип двигателя,Электродвигатель переменного тока 380В, трехфазный, 50 Гц,Электродвигатель переменного тока 220В, однофазный, 50 Гц,Электродвигатель переменного тока взрывозащищенный,Бензодвигатель,Пневмодвигатель",field_select,Тип двигателя,,"Электродвигатель переменного тока 380В, трехфазный, 50 Гц=Электродвигатель переменного тока 380В, трехфазный, 50 Гц\r\nЭлектродвигатель переменного тока 220В, однофазный, 50 Гц=Электродвигатель переменного тока 220В, однофазный, 50 Гц\r\nЭлектродвигатель переменного тока взрывозащищенный=Электродвигатель переменного тока взрывозащищенный\r\nБензодвигатель=Бензодвигатель\r\nПневмодвигатель=Пневмодвигатель",engine_type
"Вид управления,Ручное,Электромагнитное,Пневматическое,Гидравлическое,Без распределителя",field_select,Вид управления,,Ручное=Ручное\r\nЭлектромагнитное=Электромагнитное\r\nПневматическое=Пневматическое\r\nГидравлическое=Гидравлическое\r\nБез распределителя=Без распределителя,type_of_distributor_management
"Тип пульта,На станции,Дистанционный,Ножной,Радиоуправление",field_select,Тип пульта,,На станции=На станции\r\nДистанционный=Дистанционный\r\nНожной=Ножной\r\nРадиоуправление=Радиоуправление,type_of_remote_control
Номинальное давление (МПа),field_text,Номинальное давление (МПа),,,rated_pressure
Номинальный расход (л\/мин.),field_text,Номинальный расход (л\/мин.),,,rated_consumption
"Тип распределителя,Трехпозиционный четырехлинейный гидрораспределитель,Двухпозиционный четырехлинейный гидрораспределитель,Разгрузочный кран",field_select,Тип распределителя,,Трехпозиционный четырехлинейный гидрораспределитель=Трехпозиционный четырехлинейный гидрораспределитель\r\nДвухпозиционный четырехлинейный гидрораспределитель=Двухпозиционный четырехлинейный гидрораспределитель\r\nРазгрузочный кран=Разгрузочный кран,type_of_distributor
Объем бака (лит.),field_text,Объем бака (лит.),,,tank_capacity
"Подача масла,Одноступенчатая,Двухступенчатая,Трехступенчатая",field_select,Подача масла,,Одноступенчатая=Одноступенчатая\r\nДвухступенчатая=Двухступенчатая\r\nТрехступенчатая=Трехступенчатая,oil_supply
"Подогрев масла,Да,Нет",field_checkbox,Подогрев масла,Да,,heating_oil
"Контроль уровня масла,Визуальный,Электронный",field_select,Контроль уровня масла,,Визуальный=Визуальный\r\nЭлектронный=Электронный,checking_oil_level
"Охлаждение,Без охлаждения,Воздушное,Водяное",field_select,Охлаждение,,Без охлаждения=Без охлаждения\r\nВоздушное=Воздушное\r\nВодяное=Водяное,cooling
"Колеса для транспортировки,Да,Нет",field_checkbox,Колеса для транспортировки,Да,,wheels_for_transportation
"Установка шкафа управления,Да,Нет",field_checkbox,Установка шкафа управления,Да,,control_cabinet
"Зимний пуск,Да,Нет",field_checkbox,Зимний пуск,Да,,winter_start
"Режим работы,Продолжительный,Кратковременный",field_select,Режим работы,,Продолжительный=Продолжительный\r\nКратковременный=Кратковременный,mode_of_operation
"Категория изделия (ГОСТ 15150-69),1,1,1,2,2,1,3,3,1,4,4,1,4,2,5,5,1",field_select,Категория изделия (ГОСТ 15150-69),,"1=1\r\n1,1=1,1\r\n2=2\r\n2,1=2,1\r\n3=3\r\n3,1=3,1\r\n4=4\r\n4,1=4,1\r\n4,2=4,2\r\n5=5\r\n5,1=5,1",product_cat
"Манометр,Аналоговый,Цифровой,Электроконтактный",field_select,Манометр,,Аналоговый=Аналоговый\r\nЦифровой=Цифровой\r\nЭлектроконтактный=Электроконтактный,manometer
Длина кабеля для дистанционного пульта управления (метров),field_text,Длина кабеля для дистанционного пульта управления (метров),,,cable_length_remote_control
Коментарии к заказу,field_textarea,Коментарии к заказу,,,comments_to_the_order
Прикрепить файл,field_file,Прикрепить файл,,,attached_file
Домкрат гидравлический,divider,Домкрат гидравлический,,,hydraulic_jack
"Возврат штока,Пружинный,Гидравлический,Гравитационный",field_select,Возврат штока,,Пружинный=Пружинный\r\nГидравлический=Гидравлический\r\nГравитационный=Гравитационный,stock_return_type
Резьба подводящего отверстия,field_text,Резьба подводящего отверстия,,,thread_the_inlet_hole
Резьба наружная на корпусе,field_text,Резьба наружная на корпусе,,,external_thread_on_the_body
Количество отверстий в дне,field_text,Количество отверстий в дне,,,number_of_holes_in_the_bottom
"Резьба в дне, мм",field_text,"Резьба в дне, мм",,,thread_in_the_bottom
"Опора на штоке,Плавающая,Рифленная,Нет",field_select,Опора на штоке,,Плавающая=Плавающая\r\nРифленная=Рифленная\r\nНет=Нет,support_on_the_rod
Количество штоков,field_text,Количество штоков,,,the_number_of_stocks
"Диаметр отверстия в штоке,мм",field_text,"Диаметр отверстия в штоке,мм",,,diameter_of_the_hole_in_the_rod
Прикрепить файл,field_file,Прикрепить файл,,,attachment
Домкрат механический,divider,Домкрат механический,,,mechanical_jack
"Высота подъема, мм",field_text,"Высота подъема, мм",,,lifting_height
"Высота домкрата, мм",field_text,"Высота домкрата, мм",,,jack_height
Съемник гидравлический,divider,Съемник гидравлический,,,hydraulic_puller
"Количество захватов,2,3,4",field_select,Количество захватов,,2=2\r\n3=3\r\n4=4,the_number_of_captures
"Материал,Сталь",field_select,Материал,,Сталь=Сталь,material
"Центрирование,Ручное,Траверсное",field_select,Центрирование,,Ручное=Ручное\r\nТраверсное=Траверсное,centering
"Конструкция захватов,Лаповая,Хомут,Шпилька",field_select,Конструкция захватов,,Лаповая=Лаповая\r\nХомут=Хомут\r\nШпилька=Шпилька,the_design_of_the_grips
Венешний диаметр захвата (мм) мин,field_text,Венешний диаметр захвата (мм) мин,,,external_gripper_diameter_min
Внешний диаметр захвата (мм) макс,field_text,Внешний диаметр захвата (мм) макс,,,the_external_diameter_of_grip_max
Внутренний диаметр захвата (мм) мин,field_text,Внутренний диаметр захвата (мм) мин,,,inner_diameter_of_the_gripper_min
Внутренний диаметр захвата (мм) макс,field_text,Внутренний диаметр захвата (мм) макс,,,inner_diameter_of_the_gripper_max
Глубина захвата (мм) мин,field_text,Глубина захвата (мм) мин,,,depth_of_capture_min
Глубина захвата (мм) макс,field_text,Глубина захвата (мм) макс,,,gripping_depth_max
Съемник механический,divider,Съемник механический,,,mechanical_puller
"Ход винта, мм",field_text,"Ход винта, мм",,,screw_stroke
